Strategy or Concept,Category,Key Objective,Implementation Method,Target Audience,Associated Benefits or Outcomes,Required Actions (Inferred),Source
Pre-petition Credit Counselling,Preventative / Educational,Ensure the debtor understands the factors causing financial distress and explores all viable alternatives to bankruptcy.,Mandatory  $60$ - $90$  minute session with an approved non-profit agency involving situational analysis and spending reduction.,Individual bankruptcy filers (with specific exceptions for disability or military service).,"Increased financial awareness, eligibility to file, and potential avoidance of bankruptcy if alternate budgeting is viable.","Consumer must complete a session within  $180$  days before filing, provide full financial disclosure, and submit the certificate to the court.",1-5
Pre-Discharge Debtor Education (Personal Financial Management),Educational / Recovery,Teach financial management skills to ensure a successful financial fresh start and bridge the gap to permanent stability.,"Minimum  $2$ -hour instructional course (or  $40$ -hour extended curriculum) covering budgeting, credit use, and behavioural shifts.",Bankruptcy filers who have filed their case but not yet received a discharge.,"Legal eligibility for debt discharge, acquisition of management skills, and long-term solvency.",Complete the course after filing but within  $60$ - $90$  days of the creditors' meeting and file the certificate with the court.,"3, 4, 6, 7"
The Means Test (Section 707(b)),Preventative / Structural,Screen out debtors with the ability to repay a portion of their debts to prevent 'abuse' of Chapter 7 liquidation.,Numerical calculation using Form 22A to compare income to state medians and calculate disposable income against a  $25\%$  debt-repayment threshold.,Higher-income consumer debtors seeking Chapter 7 relief.,Increases payments to unsecured creditors by funneling capable debtors into Chapter 13 repayment plans.,Debtors must provide detailed financial records and tax returns to calculate net income; courts must dismiss or convert cases where abuse is presumed.,"1, 2"
Debt Management Plan (DMP),Preventative / Financial Management,"Consolidate and repay debts through a structured, informal negotiation outside of the court system.",Working with a credit counselling agency to set up an accelerated payment plan often involving lower interest rates.,Individuals with high credit card debt who wish to avoid the stigma of formal bankruptcy.,"Avoidance of bankruptcy court records, potential interest rate breaks, and improved mental well-being.","Consumer must agree to close accounts, make a single monthly payment to the agency, and strictly follow a spending tracker/budget.","8, 9"
Financial Therapy and Money Timelines,Psychological,"Heal financial shame, deconstruct harmful money scripts, and identify the origin of avoidance behaviours.",Interdisciplinary approach mapping key financial memories and emotions to foster radical self-compassion.,"Individuals experiencing bankruptcy-related stigma, chronic money stress, or financial trauma.","Reduced anxiety, cessation of avoidance behaviours, and transition to proactive, healthy financial planning.","Consumer must honestly reflect on past financial trauma, track money triggers in a journal, and participate in guided reframing exercises.","3, 9-12"
Post-Discharge Credit Audit,Preventative / Recovery,Ensure credit report accuracy to prevent score suppression and verify a clean financial slate.,"Requesting free reports from Equifax, Experian, and TransUnion roughly  $90$  days after discharge to verify  $\$0$  balances.",Recently discharged bankruptcy filers.,"Corrected credit profile, prevention of illegal collection of discharged debt, and quantification of progress.","Visit annualcreditreport.com, verify discharged debts show a zero balance, and mail formal dispute letters for any inaccuracies.","3, 13-16"
Predatory Risk Mitigation,Preventative,Identify and avoid deceptive high-interest traps and aggressive subprime marketing.,"Instruction on calculating Annual Percentage Rate (APR) and recognising red flags like 'packing', 'loan flipping', or junk fees.",Post-bankruptcy dischargees and vulnerable borrowers targeted by aggressive subprime lenders.,Building an 'immune system' against financial exploitation and protection of home equity.,"Compare quotes from at least  $3$  lenders, ensure fees do not exceed  $1\%$  of the loan, and use APR calculators to compare costs.","3, 17-20"
The 50/30/20 Budgeting Rule,Preventative / Educational,Establish a foundational framework for balanced budgetary allocation and simplified income management.,"Allocate  $50\%$  of take-home pay to needs,  $30\%$  to discretionary wants, and  $20\%$  to savings/debt reduction.",General consumers and individuals seeking a robust post-bankruptcy financial structure.,"Maintenance of essential stability, consistent savings growth, and creation of a buffer against crises.","Calculate net monthly income, categorise all expenses, and automate a  $20\%$  transfer to a separate savings account.","3, 21-24"
The Envelope System,Psychological / Preventative,Enforce hard spending boundaries and curb overspending through physical or digital categorisation.,Dividing income into labelled envelopes for specific categories; spending must cease when an envelope is empty.,Beginners or those who struggle with the abstract nature of digital transactions and credit card use.,"Creates a 'pain of paying' leading to conscious spending, real-time accountability, and adherence to limits.","Withdraw physical cash monthly (or set up digital sub-accounts), label envelopes, and strictly stop spending once empty.","3, 22, 24, 25"
Credit Builder Loans and Secured Cards,Tactical / Recovery,Re-establish a positive credit history and build savings when traditional credit is unavailable.,Lender holds 'borrowed' money in a CD or requires a refundable cash deposit to serve as a credit limit.,Individuals with poor or no credit history seeking to improve their FICO score post-bankruptcy.,Improvement of payment history ( $35\%$  of FICO score) and creation of a lump sum of savings or unsecured credit access.,"Deposit  $150$ - $380$  GBP ( $200$ - $500$  USD) as collateral, use for small purchases, and pay the balance in full by the due date.","3, 14, 23, 26-29"
